EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.640475749969482, avg_ce_loss: 2.6391210556030273, avg_contrast_loss: 2.001354694366455
avg_loss: 4.640502452850342, avg_ce_loss: 2.6391444206237793, avg_contrast_loss: 2.0013580322265625
avg_loss: 4.640387535095215, avg_ce_loss: 2.63901948928833, avg_contrast_loss: 2.0013680458068848
avg_loss: 4.640190124511719, avg_ce_loss: 2.639016628265381, avg_contrast_loss: 2.001173496246338
avg_loss: 4.640348434448242, avg_ce_loss: 2.6390538215637207, avg_contrast_loss: 2.0012946128845215
avg_loss: 4.640264987945557, avg_ce_loss: 2.639072895050049, avg_contrast_loss: 2.001192092895508
avg_loss: 4.640278339385986, avg_ce_loss: 2.6390647888183594, avg_contrast_loss: 2.001213550567627
avg_loss: 4.640406608581543, avg_ce_loss: 2.6390814781188965, avg_contrast_loss: 2.0013251304626465
avg_loss: 4.640222549438477, avg_ce_loss: 2.6390419006347656, avg_contrast_loss: 2.001180410385132
device0 finished!
device0: epoch0 finished, waiting for sync...
EP_train_validate:0: 100%|| 32/32 [04:39<00:00,  8.72s/it]


Inside validate(), local val_acc: 0.00


Not convreged...
device: 0
epoch: 0
val_acc: 0.0
val_ce: 2.639058120727539
EP_train_inference:1:  14%|| 290/2084 [16:15<1:39:27,  3.33s/it]


avg_loss: 4.639084815979004, avg_ce_loss: 2.6390633583068848, avg_contrast_loss: 2.000021457672119
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390578746795654, avg_contrast_loss: 2.000005006790161
avg_loss: 4.639063358306885, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639064788818359, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000057220458984
avg_loss: 4.639060974121094, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.0000033378601074
avg_loss: 4.63906192779541, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.0000038146972656
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639063835144043, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.63906192779541, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.000004291534424
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390583515167236, avg_contrast_loss: 2.0000052452087402
